images,retweet_of,handle_original_tweet,handle_original_tweet_name,handle_original_tweet_user,type_of_tweet,time_elapsed,comments_on_tweet,retweets_on_tweet,quote_on_tweet,likes_on_tweet,text,link,profile,profile_handle,posts,likes,followers,following,user,username,quote_original_text
['https://nitter.poast.org/pic/orig/media%2FGHF7nBDWMAAYAQN.jpg'],,,,,tweet,"Feb 24, 2024 · 9:43 AM UTC",3,1,1,7,"We trained Ukrainian fighter pilots, with the first cohort completing their basic training in December here in the UK.",https://nitter.poast.org/Conservatives/status/1761326070379262285#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGHF7V2dWIAAOPq-.jpg'],,,,,tweet,"Feb 24, 2024 · 9:43 AM UTC",3,1,,7,"Our UK-based training programmes have trained over 52,000 Ukrainian troops since Russia launched its invasion in 2014 – and we are now committing to train a further 10,000 troops by mid-2024.",https://nitter.poast.org/Conservatives/status/1761326066189074466#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGHF3yQJWYAAg3Kr.jpg'],,,,,tweet,"Feb 24, 2024 · 9:43 AM UTC",10,1,1,7,"We’ve imposed the largest and most severe package of sanctions that Russia has ever seen, with over 1,681 individuals and 269 entities sanctioned 🚫",https://nitter.poast.org/Conservatives/status/1761326063206945119#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGHF3piKWEAAbz3z.jpg'],,,,,tweet,"Feb 24, 2024 · 9:43 AM UTC",4,1,1,7,We co-hosted the Ukraine Recovery Conference 2023 where we rallied over $60 billion in international aid 🌍,https://nitter.poast.org/Conservatives/status/1761326060250001472#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGHF3VibWwAAVs_r.jpg'],,,,,tweet,"Feb 24, 2024 · 9:43 AM UTC",25,2,3,9,"The UK has pledged almost £12 billion in overall support to Ukraine since February 2022, of which £7.1 billion is for military assistance.",https://nitter.poast.org/Conservatives/status/1761326056919720186#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGHF3PY_XUAARnYz.jpg'],,,,,tweet,"Feb 24, 2024 · 9:43 AM UTC",414,61,16,200,"Two years on from Russia's illegal invasion, we stand united in support of Ukraine.

Putin’s barbaric actions will fail.

We are proud the United Kingdom has played a leading role in supporting Ukraine 🇬🇧🇺🇦🧵",https://nitter.poast.org/Conservatives/status/1761326051899175302#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],Conservatives retweeted,,Esther McVey,@EstherMcVey1,retweet,"Feb 23, 2024 · 11:05 AM UTC","1,023",322,96,"1,714","The Radio 4 Any Questions audience gasped when I said that everyone who had voted for lockdown had responsibility for the economic situation we are now in. 

As far as I am concerned, that is a fact, not a controversial opinion. 

Full article 👇🏼

telegraph.co.uk/news/2024/02…",https://nitter.poast.org/EstherMcVey1/status/1760984167804985437#m,Conservatives,Conservatives,31781,6757,619757,1726,Esther McVey,@EstherMcVey1,
['https://nitter.poast.org/pic/orig/media%2FGHBIouKWkAA2BFJ.jpg'],,,,@WelshConserv,quote,"Feb 23, 2024 · 12:00 PM UTC",822,179,83,697,🚨 BREAKING: Incredible scenes in Wales as @RishiSunak joins farmers protesting against Labour’s war on farming 👇,https://nitter.poast.org/Conservatives/status/1760998162645352810#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,"Huge crowds of farmers to meet @AndrewRTDavies and @RishiSunak to express their frustration with Labour and Plaid's war on the countryside here in Wales. 🚜

💪 Only the @Conservatives are standing up for our farming communities across the UK. 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧

#NoFarmersNoFood #WelshCPC24"
[],,,,,tweet,"Feb 23, 2024 · 10:46 AM UTC","1,719",893,230,"2,293",🚨 REMINDER: Keir Starmer doesn't think Shamima Begum should have been stripped of her citizenship.,https://nitter.poast.org/Conservatives/status/1760979448223162562#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
"['https://nitter.poast.org/pic/orig/media%2FGHA8bbaXIAAkoSH.jpg', 'https://nitter.poast.org/pic/orig/media%2FGHA8bbcW8AAFSAD.jpg', 'https://nitter.poast.org/pic/orig/media%2FGHA8bbbXYAABFLW.jpg']",Conservatives retweeted,,Welsh Conservatives 🏴󠁧󠁢󠁷󠁬󠁳󠁿,@WelshConserv,retweet,"Feb 23, 2024 · 10:24 AM UTC",57,35,3,101,#NoFarmersNoFood #WelshCPC24,https://nitter.poast.org/WelshConserv/status/1760973911221539239#m,Conservatives,Conservatives,31781,6757,619757,1726,Welsh Conservatives 🏴󠁧󠁢󠁷󠁬󠁳󠁿,@WelshConserv,
