images,retweet_of,handle_original_tweet,handle_original_tweet_name,handle_original_tweet_user,type_of_tweet,time_elapsed,comments_on_tweet,retweets_on_tweet,quote_on_tweet,likes_on_tweet,text,link,profile,profile_handle,posts,likes,followers,following,user,username,quote_original_text
"['https://nitter.poast.org/pic/orig/media%2FF_YkdtWWUAAEHFT.jpg', 'https://nitter.poast.org/pic/orig/media%2FF_YkheWXgAA-z96.jpg', 'https://nitter.poast.org/pic/orig/media%2FF_YkvCnWEAAKDP2.jpg', 'https://nitter.poast.org/pic/orig/media%2FF_YkyO7WMAAnaQ6.jpg']",,,,,tweet,"Nov 20, 2023 · 2:35 PM UTC","2,266",216,177,"1,037","To grow the economy, we're taking five long-term decisions👇

➡️Reducing debt
➡️Cutting tax and rewarding work
➡️Building domestic, sustainable energy
➡️Backing British business
➡️Delivering a world-class education

This is how we'll build a brighter future for our children.",https://nitter.poast.org/RishiSunak/status/1726610305256677430#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_Xss5EWcAALQqz.jpg'],,,,,tweet,"Nov 20, 2023 · 10:57 AM UTC","1,869",174,189,838,"I want to give young people the skills they need to get great jobs.

We'll do this by:

🎓Scrapping rip-off university degrees
📚Creating the new Advanced British Standard
🧮Teaching Maths and English to every child through to 18",https://nitter.poast.org/RishiSunak/status/1726555317088223528#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_Xsjd0XUAA9883.jpg'],,,,,tweet,"Nov 20, 2023 · 10:54 AM UTC",732,114,60,503,"We will grow the economy by backing British business to invest, innovate and trade.

That’s why we’ve cut taxes directly on business investment.

That’s how we encourage our future growth and productivity.",https://nitter.poast.org/RishiSunak/status/1726554665058455678#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_XsbrcXUAA0ipk.jpg'],,,,,tweet,"Nov 20, 2023 · 10:51 AM UTC",508,124,38,461,"Energy security underpins our economy so there can be no plan for growth without it.

We’ll build domestic, sustainable energy:

☢️ New nuclear power stations
🌊 Backing North Sea oil & gas
⚡️Investing in renewables

This will help cut the cost of net zero for working people.",https://nitter.poast.org/RishiSunak/status/1726553958045606245#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_XsV_TW4AAg9ON.jpg'],,,,,tweet,"Nov 20, 2023 · 10:49 AM UTC","4,429",375,457,"2,376","Now that inflation is halved, we can turn our attention to cutting tax.

We will reward work, by cutting taxes and reforming our benefits system so work always pays.

We’ll also encourage more people into work and clamp down on welfare fraudsters.",https://nitter.poast.org/RishiSunak/status/1726553298323624398#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_XsNaFW4AA09GW.jpg'],,,,,tweet,"Nov 20, 2023 · 10:44 AM UTC","1,507",127,108,558,"I will do what is necessary to get our debt down and provide financial security.

That will help keep inflation falling and get mortgage rates back down to affordable levels.

If we don’t take these decisions now, we’re just leaving our children to pay the bill.",https://nitter.poast.org/RishiSunak/status/1726552068700483710#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"Nov 20, 2023 · 10:35 AM UTC","1,053",132,61,439,LIVE: My speech on the long-term decisions we will take to grow the economy nitter.poast.org/i/broadcasts/1Pl…,https://nitter.poast.org/RishiSunak/status/1726549882981523501#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_JgG5nWAAEcFKo.jpg'],,,,,tweet,"Nov 17, 2023 · 4:29 PM UTC",377,45,18,217,"And finally, @Jeremy_Hunt will deliver his Autumn Statement in Parliament next Wednesday.

The British public deserve a strong economy, and next week’s Statement will set out the next phase of our plan to deliver just that.",https://nitter.poast.org/RishiSunak/status/1725551688872800715#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_JfwnbWAAImT_V.jpg'],,,,,tweet,"Nov 17, 2023 · 4:29 PM UTC",231,39,8,179,"On Thursday we took another step to improve access to primary care.

From December, women across the country can get their contraceptive pills from their local pharmacy.

And we're ramping up the number of life-saving blood pressure checks given👇

gov.uk/government/news/what-…",https://nitter.poast.org/RishiSunak/status/1725551684808573169#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_Jfg9BXAAEyu_U.jpg'],,,,,tweet,"Nov 17, 2023 · 4:29 PM UTC",264,24,34,101,"When I said I would stop the boats, I meant it.

I am determined to overcome obstacles to flights taking off by introducing emergency legislation to confirm Rwanda is safe.

We need to make it clear - if you come here illegally, you won't get to stay.",https://nitter.poast.org/RishiSunak/status/1725551680735912343#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_JfUluWMAEkZaE.png'],,,,,tweet,"Nov 17, 2023 · 4:29 PM UTC",168,21,12,79,"We have acted decisively to help halve inflation.

Inflation eats into the pound in your pocket and makes things more expensive for families up and down the country.

We will continue to work to drive it down, support you with cost living and grow the economy.",https://nitter.poast.org/RishiSunak/status/1725551677770518898#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_Je5pZXYAA6hza.jpg'],,,,,tweet,"Nov 17, 2023 · 4:29 PM UTC",170,18,15,93,"I started the week with some changes to ensure that I have the best possible team by my side.

Our collective focus is making the right long-term decisions for the British people, to change this country for the better.

We have a unified team to do just that.",https://nitter.poast.org/RishiSunak/status/1725551674419269833#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_Je0ySXsAAqn-A.jpg'],,,,,tweet,"Nov 17, 2023 · 4:29 PM UTC","3,466",210,193,"1,489","Delivering the five priorities was never going to be easy.

Inflation is now halved and we will keep working to drive it down. Meanwhile we’re taking a new approach to ensure we have the tools available to continue to stop the boats.

Here's a rundown of the week 👇🧵",https://nitter.poast.org/RishiSunak/status/1725551669566378351#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_JE3ueXcAAL7ra.jpg'],,,,@10DowningStreet,quote,"Nov 17, 2023 · 2:47 PM UTC","2,817",271,503,"1,698","We've set out long-term plans to resurface local roads across the country using money saved from HS2. 

I reserve the right to point at any remaining potholes.",https://nitter.poast.org/RishiSunak/status/1725526048748511419#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,"Following today’s announcement, this could be the last photo of a politician pointing at a pothole. 

We’re investing £8 billion to improve your local roads and fix potholes for the long term."
['https://nitter.poast.org/pic/orig/media%2FF_IRncwXAAEJT6I.png'],,,,,tweet,"Nov 17, 2023 · 10:34 AM UTC","2,646",179,"1,114","1,779",,https://nitter.poast.org/RishiSunak/status/1725462416475975695#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF_EXm2jXoAAXPnH.jpg'],Rishi Sunak retweeted,,Mel Stride,@MelJStride,retweet,"Nov 16, 2023 · 4:16 PM UTC",719,104,62,279,"I was delighted to announce our £2.5bn Back to Work Plan today alongside the Chancellor @Jeremy_Hunt. 

This comprehensive package will help more than 1m people with long-term health conditions, disabilities, or who are long-term unemployed to look for and stay in work.

(1/2)",https://nitter.poast.org/MelJStride/status/1725186095023869972#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Mel Stride,@MelJStride,
['https://nitter.poast.org/pic/orig/media%2FF_CzRiuW8AA7H2i.jpg'],Rishi Sunak retweeted,,UK Prime Minister,@10DowningStreet,retweet,"Nov 16, 2023 · 9:09 AM UTC",293,65,6,241,"In May, we announced plans to support pharmacies to deliver more health services - freeing up millions of GP appointments.

Today we make progress 👇🧵",https://nitter.poast.org/10DowningStreet/status/1725078527614009383#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,UK Prime Minister,@10DowningStreet,
[],,,,@RishiSunak,quote,"Nov 16, 2023 · 8:58 AM UTC","1,709",222,164,"1,438","Next month, for the first time ever, women will be able to walk into their local pharmacy to get the contraceptive pill.

It's another big step in our plan to improve access to primary care, ensuring you can get the care you need, when you need it.",https://nitter.poast.org/RishiSunak/status/1725075908799721762#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,"I grew up working in my mum’s local pharmacy, so I know how much they mean to the community.

That’s why we’re empowering them to do more, and help us cut waiting lists 👇"
[],Rishi Sunak retweeted,,David Cameron,@David_Cameron,retweet,"Nov 15, 2023 · 6:49 PM UTC","8,344",591,974,"5,070","Securing our borders is a fundamental duty of government. We must stop the boats and tackle illegal migration.

This is a priority for the British people. That is why we must do whatever is needed.",https://nitter.poast.org/David_Cameron/status/1724862129545593024#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,David Cameron,@David_Cameron,
[],,,,,tweet,"Nov 15, 2023 · 4:54 PM UTC",734,114,55,670,"We need to stop the boats and the Rwanda policy is an essential part of the deterrent.

The Supreme Court has today confirmed that removing asylum seekers to a third safe country is lawful.

People need to know that if you come here illegally, you will not get to stay.

5/5",https://nitter.poast.org/RishiSunak/status/1724833165905150044#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"Nov 15, 2023 · 4:54 PM UTC",517,123,106,587,"The British people expect the boats to stop. Whatever our critics might say, we’re making progress:

✅ Small boat crossings to the UK down by a third
✅ 20,000 illegal migrants returned this year
✅ 50 hotels housing illegal migrants closed

4/5",https://nitter.poast.org/RishiSunak/status/1724833164244177364#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"Nov 15, 2023 · 4:54 PM UTC",275,65,74,394,"I will not take the easy way out.

I am prepared to change our laws and revisit those international relationships to remove the obstacles in our way.

If the ECHR chooses to intervene against Parliament, I am prepared to do whatever is necessary to get flights off.

3/5",https://nitter.poast.org/RishiSunak/status/1724833162818138310#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
